date,gross_return,n_positions,n_long,n_short,return_coverage,turnover,fixed_cost,spread_cost,total_cost,net_return
2015-08-31,0.044111644531916704,433,217,216,1.0,1.458909370199693,0.001458909370199693,0.0,0.001458909370199693,0.04265273516171701
2015-09-30,-0.015997327239900702,421,211,210,1.0,1.2974483700290151,0.0012974483700290151,0.0,0.0012974483700290151,-0.017294775609929716
2015-10-30,0.004984743714624194,427,214,213,1.0,1.447281821771752,0.0014472818217717521,0.0,0.0014472818217717521,0.0035374618928524417
2015-11-30,0.0009146278538812789,438,219,219,1.0,1.8995433789954337,0.0018995433789954336,0.0,0.0018995433789954336,-0.0009849155251141547
2015-12-31,-0.08718131735159818,438,219,219,1.0,1.5662100456621002,0.0015662100456621001,0.0,0.0015662100456621001,-0.08874752739726027
2016-01-29,-0.007874092562371456,423,212,211,1.0,1.2191780821917808,0.0012191780821917807,0.0,0.0012191780821917807,-0.009093270644563237
2016-02-29,-0.0405194361995035,421,211,210,1.0,1.9952830188679243,0.001995283018867924,0.0,0.001995283018867924,-0.042514719218371425
2016-03-31,-0.02793258795065993,425,213,212,1.0,1.5427407210558952,0.0015427407210558952,0.0,0.0015427407210558952,-0.029475328671715827
2016-04-29,-0.0028893288652024115,431,216,215,1.0,1.4426141257536607,0.0014426141257536608,0.0,0.0014426141257536608,-0.0043319429909560725
2016-05-31,0.028000252411714038,431,216,215,1.0,1.4890396210163652,0.0014890396210163652,0.0,0.0014890396210163652,0.026511212790697673
2016-06-30,-0.010502062182134316,429,215,214,1.0,1.5959732988802755,0.0015959732988802754,0.0,0.0015959732988802754,-0.012098035481014591
2016-07-29,-0.024098423899129542,433,217,216,1.0,1.6764379586960234,0.0016764379586960234,0.0,0.0016764379586960234,-0.025774861857825567
2016-08-31,0.022659158420805597,433,217,216,1.0,1.7461384195255163,0.0017461384195255163,0.0,0.0017461384195255163,0.02091302000128008
2016-09-30,-0.04262208356373842,437,219,218,1.0,1.3454400737296304,0.0013454400737296303,0.0,0.0013454400737296303,-0.04396752363746805
2016-10-31,0.030873784938056946,429,215,214,1.0,1.3310502283105023,0.0013310502283105023,0.0,0.0013310502283105023,0.029542734709746443
2016-11-30,-0.007039836828309306,435,218,217,1.0,1.8941783283304445,0.0018941783283304445,0.0,0.0018941783283304445,-0.008934015156639752
2016-12-30,-0.01601652515537141,435,218,217,1.0,1.8204033315012897,0.0018204033315012897,0.0,0.0018204033315012897,-0.0178369284868727
2017-01-31,0.011602158452807647,433,217,216,1.0,1.6965289815245426,0.0016965289815245425,0.0,0.0016965289815245425,0.009905629471283104
2017-02-28,-0.0079642217421915,433,217,216,1.0,1.7597712920293567,0.0017597712920293567,0.0,0.0017597712920293567,-0.009723993034220856
2017-03-31,0.01390890624461671,431,216,215,1.0,1.6669653524492234,0.0016669653524492235,0.0,0.0016669653524492235,0.012241940892167485
2017-04-28,-0.03595969414298019,431,216,215,1.0,1.8560292850990525,0.0018560292850990526,0.0,0.0018560292850990526,-0.03781572342807924
2017-05-31,-0.031537076850511166,427,214,213,1.0,1.9166020671834625,0.0019166020671834625,0.0,0.0019166020671834625,-0.03345367891769463
2017-06-30,-0.009882797232988802,431,216,215,1.0,1.6286175710594315,0.0016286175710594315,0.0,0.0016286175710594315,-0.011511414804048234
2017-07-31,0.007303674956933677,431,216,215,1.0,1.2805340223944874,0.0012805340223944874,0.0,0.0012805340223944874,0.00602314093453919
2017-08-31,-0.03757064858490566,424,212,212,1.0,1.8790913006029284,0.0018790913006029285,0.0,0.0018790913006029285,-0.03944973988550859
2017-09-29,0.01927637275678996,427,214,213,1.0,1.039730595410469,0.001039730595410469,0.0,0.001039730595410469,0.01823664216137949
2017-10-31,0.00913519084771528,423,212,211,1.0,1.3583212671668643,0.0013583212671668644,0.0,0.0013583212671668644,0.007776869580548415
2017-11-30,-0.011309991443991049,427,214,213,1.0,1.7653679083848888,0.001765367908384889,0.0,0.001765367908384889,-0.013075359352375937
2017-12-29,0.010154517781141677,427,214,213,1.0,1.5594094159975427,0.0015594094159975427,0.0,0.0015594094159975427,0.008595108365144134
2018-01-31,-0.001456509027686366,427,214,213,1.0,1.5033785266113817,0.0015033785266113818,0.0,0.0015033785266113818,-0.002959887554297748
2018-02-28,-0.010290517616706529,425,213,212,1.0,1.8830678776710106,0.0018830678776710107,0.0,0.0018830678776710107,-0.01217358549437754
2018-03-29,0.007093642180094786,422,211,211,1.0,1.6609309947736737,0.0016609309947736737,0.0,0.0016609309947736737,0.005432711185321112
2018-04-30,-0.011765474606204206,427,214,213,1.0,1.625290684919486,0.0016252906849194859,0.0,0.0016252906849194859,-0.013390765291123692
2018-05-31,-0.004512807934969855,431,216,215,1.0,1.823664944013781,0.0018236649440137812,0.0,0.0018236649440137812,-0.006336472878983636
2018-06-29,0.022102372193802056,435,218,217,1.0,1.7472836426668923,0.0017472836426668922,0.0,0.0017472836426668922,0.020355088551135166
2018-07-31,-0.007041634792626728,435,218,217,1.0,1.641419693062191,0.001641419693062191,0.0,0.001641419693062191,-0.008683054485688919
2018-08-31,0.013969150518887504,439,220,219,1.0,1.4983188044831883,0.0014983188044831884,0.0,0.0014983188044831884,0.012470831714404315
2018-09-28,0.05555400478614219,437,219,218,1.0,1.3803445413034456,0.0013803445413034456,0.0,0.0013803445413034456,0.054173660244838745
2018-10-31,-0.020576599315519285,427,214,213,1.0,1.8304218507812826,0.0018304218507812827,0.0,0.0018304218507812827,-0.02240702116630057
2018-11-30,-0.030284048477599922,423,212,211,1.0,1.5877539379579657,0.0015877539379579658,0.0,0.0015877539379579658,-0.03187180241555789
2018-12-31,-0.02871165475848876,409,205,204,1.0,1.8770008047929894,0.0018770008047929894,0.0,0.0018770008047929894,-0.03058865556328175
2019-01-31,0.000812948714114829,417,209,208,1.0,1.3282112624217888,0.0013282112624217889,0.0,0.0013282112624217889,-0.0005152625483069599
2019-02-28,0.0041173833561175665,419,210,209,1.0,1.5270448849396219,0.001527044884939622,0.0,0.001527044884939622,0.0025903384711779445
2019-03-29,0.010508782883235186,417,209,208,1.0,1.9141490088858513,0.0019141490088858512,0.0,0.0019141490088858512,0.008594633874349335
2019-04-30,0.03681375939849624,419,210,209,1.0,1.9856687172476648,0.001985668717247665,0.0,0.001985668717247665,0.03482809068124857
2019-05-31,-0.013447081480153037,409,205,204,1.0,1.1645021645021645,0.0011645021645021645,0.0,0.0011645021645021645,-0.014611583644655202
2019-06-28,0.024443268749120582,413,207,206,1.0,1.5052530369119648,0.0015052530369119648,0.0,0.0015052530369119648,0.022938015712208618
2019-07-31,-0.023629874465811967,415,208,207,1.0,1.5513285024154588,0.0015513285024154589,0.0,0.0015513285024154589,-0.025181202968227425
2019-08-30,0.039392849741620786,407,204,203,1.0,1.5994751021924936,0.0015994751021924936,0.0,0.0015994751021924936,0.03779337463942829
2019-09-30,-0.01771984160688666,409,205,204,1.0,1.266021042563367,0.0012660210425633669,0.0,0.0012660210425633669,-0.018985862649450028
2019-10-31,-0.006409767539454806,409,205,204,1.0,1.5448110951697755,0.0015448110951697756,0.0,0.0015448110951697756,-0.00795457863462458
2019-11-29,-0.021900591798182687,409,205,204,1.0,1.6669775227164036,0.0016669775227164036,0.0,0.0016669775227164036,-0.023567569320899092
2019-12-31,-0.029251646163864546,411,206,205,1.0,1.5761543926118873,0.0015761543926118874,0.0,0.0015761543926118874,-0.030827800556476433
2020-01-31,0.025202127594452416,409,205,204,1.0,1.7954534690977977,0.0017954534690977977,0.0,0.0017954534690977977,0.023406674125354618
2020-02-28,-0.020751960186690316,403,202,201,1.0,1.716164514586322,0.001716164514586322,0.0,0.001716164514586322,-0.022468124701276636
