date,n_assets,sdf_payoff,mean_realized_return,mean_target_return,mean_expected_return,rms_pricing_error,rms_forecast_error,rms_reconstruction_error,mean_factor_effective_n,mean_abs_factor_weight,fold
2015-06-01,2181,0.9985709190368652,-0.015053078532218933,6.558970588876889e-10,0.001124493544921279,0.1099272295832634,0.11006632447242737,0.1086316928267479,2163.16162109375,0.0004585052374750376,10
2015-07-01,2160,0.9983184933662415,-0.059555619955062866,-4.415158794124352e-10,0.0026325054932385683,0.09858593344688416,0.09814329445362091,0.09841683506965637,2140.150146484375,0.00046296295477077365,10
2015-08-01,2165,0.9896488189697266,-0.05695318058133125,3.08347347655058e-09,0.0013588840374723077,0.09820912778377533,0.09781679511070251,0.09969278424978256,2154.378662109375,0.00046189382555894554,10
2015-09-01,2106,1.0003949403762817,0.0624251626431942,3.962322137063268e-10,0.003221004270017147,0.12711618840694427,0.12742431461811066,0.12380026280879974,2093.877197265625,0.00047483379603363574,10
2015-10-01,2132,1.0022649765014648,0.02690558135509491,8.387145145061226e-11,0.001312359469011426,0.12421092391014099,0.12519043684005737,0.11885515600442886,2112.73388671875,0.00046904321061447263,10
2015-11-01,2190,0.9992149472236633,-0.04324357584118843,8.709354348823695e-10,0.0010756845586001873,0.09903039038181305,0.09930828958749771,0.09924039244651794,2165.427734375,0.00045662105549126863,10
2015-12-01,2190,0.9977869391441345,-0.08983660489320755,-7.076350616586069e-09,0.0005926670855842531,0.11456211656332016,0.11324203014373779,0.1080843061208725,2171.03271484375,0.00045662105549126863,10
2016-01-01,2111,1.000091552734375,0.006769102066755295,-1.1294105650705433e-09,-0.0012262031668797135,0.11615196615457535,0.11586691439151764,0.11553911864757538,2085.77490234375,0.0004737091949209571,11
2016-02-01,2105,0.9992625713348389,0.0815771222114563,1.9254706717930503e-09,-0.0012865564785897732,0.10444886982440948,0.10487045347690582,0.1040964126586914,2075.93603515625,0.0004750593798235059,11
2016-03-01,2126,0.9991989135742188,0.025211062282323837,8.971536291646487e-10,-0.002004105132073164,0.09997456520795822,0.1010792925953865,0.0977661982178688,2096.49072265625,0.00047036688192747533,11
2016-04-01,2152,1.0003269910812378,0.014235030859708786,1.0524984217497035e-09,-0.0027096904814243317,0.10336567461490631,0.10397782176733017,0.10299091041088104,2128.154296875,0.0004646840097848326,11
2016-05-01,2157,1.0000478029251099,-0.007714064326137304,-1.3263898868132173e-09,-0.0006782584241591394,0.10318402200937271,0.10334686934947968,0.10272931307554245,2126.186767578125,0.0004636068479157984,11
2016-06-01,2145,0.9997119307518005,0.056372690945863724,1.3338102844429045e-09,-3.349509643157944e-05,0.09181046485900879,0.09202861785888672,0.08967164158821106,2124.629150390625,0.0004662004648707807,11
2016-07-01,2166,0.9999312162399292,0.016398543491959572,-2.751830430192115e-10,-0.0009001330472528934,0.10597316920757294,0.1063467264175415,0.10566643625497818,2143.830322265625,0.00046168052358552814,11
